num_splits,normalized_value_threshold,investment_ratio,Average_Total_Value,Average_CAGR
10,45,0.3,430724567.5,0.15592643614688617
10,40,0.3,441907683.5,0.1575197823106581
10,30,0.3,432984146.6666667,0.15608212053304024
10,45,0.2,423078425.0,0.15226813445906173
10,40,0.2,430809324.0,0.15372017172304378
10,30,0.2,428104147.8333333,0.1549460137090518
